occurrence_no,taxon_name,taxon_query,state,latitude,longitude,formation,stratgroup,early_interval,late_interval,collection_no,elevation,slope,aspect,tri
occ:841561,Camelops,Camelops,NV,38.950001,-114.01667,,,,,col:93291,1584.7534,0.33423632,251.4547,0.1414032
occ:841721,Camelops hesternus,Camelops,NV,39.483334,-114.033333,,,,,col:93326,1630.6196,8.214687,78.96615,3.282486
occ:197123,Paramylodon harlani,Paramylodon,WA,47.0,-118.5,,,,,col:20307,537.4677,1.0109053,13.777428,0.37926483
occ:1679951,Paramylodon harlani,Paramylodon,WA,45.519016,-122.958008,,,,,col:238063,55.031082,1.457815,60.444126,0.7163992
occ:196684,Paramylodon,Paramylodon,OR,43.0,-118.0,,,,,col:20279,1292.8849,0.93321615,252.41693,0.4118805
occ:198304,Paramylodon harlani,Paramylodon,OR,43.0,-118.0,,,,,col:20443,1292.8849,0.93321615,252.41693,0.4118805
occ:198686,Paramylodon harlani,Paramylodon,OR,43.599998,-117.5,,,,,col:20499,1323.8507,11.662527,30.445627,4.9542084
occ:841222,Paramylodon harlani,Paramylodon,OR,43.333332,-120.5,,,,,col:93251,1313.0771,0.91287583,313.07245,0.44088745
occ:1679954,Paramylodon harlani,Paramylodon,OR,45.430923,-122.775742,,,,,col:238065,46.479183,1.9083126,57.76743,0.6456461
occ:199780,Paramylodon harlani,Paramylodon,NV,35.099998,-120.0,,,,,col:20630,604.5084,17.760593,328.6954,6.812042
occ:841171,Paramylodon,Paramylodon,NV,35.933334,-119.816666,,,,,col:93249,59.372482,0.15665847,93.800316,0.07165623
occ:843323,Bison,Bison,WA,48.049999,-123.116669,,,,,col:93677,173.16122,3.382641,283.30853,1.443407
occ:1378801,Bison antiquus,Bison,WA,48.597881,-122.944626,,,,,col:188667,11.778791,10.730452,109.195885,4.699585
occ:1380632,Bison antiquus,Bison,WA,48.620098,-123.005096,,,,,col:188795,1.7380724,0.047560073,182.89412,0.020665675
occ:1380639,Bison antiquus,Bison,WA,48.6078,-122.9272,,,,,col:188999,77.25124,8.584476,52.216145,2.7751284
occ:1654778,Bison antiquus,Bison,WA,46.871895,-120.773102,,,,,col:231727,695.55115,2.5104952,27.20297,1.0135574
occ:1679950,Bison antiquus,Bison,WA,45.519016,-122.958008,,,,,col:238063,55.031082,1.457815,60.444126,0.7163992
occ:1679949,Bison,Bison,OR,45.148335,-122.842499,,,,,col:238062,56.922665,0.114039056,67.339294,0.09927368
occ:1679955,Bison antiquus,Bison,OR,45.152935,-122.847435,,,,,col:238066,54.127884,0.28951722,254.07968,0.5835805
occ:198111,Bison,Bison,NV,35.305557,-119.623337,,,,,col:20414,320.74292,1.1208351,261.16583,0.4594078
occ:841170,Bison,Bison,NV,35.933334,-119.816666,,,,,col:93249,59.372482,0.15665847,93.800316,0.07165623
occ:197132,Cervus brevitrabalis,Cervus,WA,47.0,-118.5,,,,,col:20307,537.4677,1.0109053,13.777428,0.37926483
occ:2038407,Cervus,Cervus,OR,42.098263,-123.407272,,,,,col:275384,1218.6063,18.711369,282.47562,9.475418
occ:841723,Cervus elaphus,Cervus,NV,39.483334,-114.033333,,,,,col:93326,1630.6196,8.214687,78.96615,3.282486
occ:1380640,Arctodus simus,Arctodus,WA,48.549999,-123.366669,,,,,col:189001,29.338549,5.685984,58.24544,2.1042578
occ:841215,Arctodus,Arctodus,OR,43.333332,-120.5,,,,,col:93251,1313.0771,0.91287583,313.07245,0.44088745
occ:841393,Arctodus simus,Arctodus,NV,39.366669,-114.599998,,,,,col:93278,3346.2056,27.094173,170.5701,12.297943
occ:841396,Arctodus simus,Arctodus,NV,39.366669,-114.599998,,,,,col:93279,3346.2056,27.094173,170.5701,12.297943
