latitude,longitude,tpi_15m
47.483334,-117.566666,6.5836181640625
48.601665,-123.347221,27.069721221923828
48.458611,-123.294724,-18.17452049255371
48.472778,-123.291115,-11.884905815124512
48.456669,-123.326111,69.21086120605469
48.116943,-122.760559,
46.871895,-120.773102,-27.24969482421875
47.202,-117.523003,-23.17413330078125
46.706001,-117.691002,-29.879562377929688
45.519016,-122.958008,-1.2852134704589844
44.533333,-122.900002,1.0638198852539062
43.333332,-120.5,
44.958775,-122.878143,3.8326873779296875
36.099998,-117.900002,-11.850830078125
36.654446,-114.568886,-11.29010009765625
36.501389,-116.336945,-0.49298095703125
47.0,-118.5,19.55712890625
48.049999,-123.116669,-31.400848388671875
45.373905,-122.776749,4.9454498291015625
42.468811,-123.119583,-106.39395141601562
48.449722,-123.504723,-0.9339065551757812
43.0,-118.0,
42.761299,-120.551399,62.5704345703125
45.148335,-122.842499,1.3206977844238281
38.799999,-119.5,-8.5087890625
39.0,-119.199997,-14.6607666015625
35.305557,-119.623337,-10.655914306640625
35.099998,-120.0,-16.8494873046875
35.933334,-119.816666,-1.1443099975585938
38.950001,-114.01667,-5.1820068359375
39.483334,-114.033333,-39.987060546875
43.599998,-117.5,
45.430923,-122.775742,-13.041950225830078
48.597881,-122.944626,-16.269428253173828
48.620098,-123.005096,-25.9296817779541
48.6078,-122.9272,-16.701202392578125
45.152935,-122.847435,-1.1111488342285156
42.098263,-123.407272,-89.8492431640625
48.549999,-123.366669,14.336296081542969
39.366669,-114.599998,121.1435546875
48.073572,-123.089484,-28.94839859008789
44.9,-122.8,4.898651123046875
42.4,-123.1,60.11102294921875
45.2,-123.0,7.576732635498047
42.7,-117.7,-13.3333740234375
45.1,-122.8,4.856349945068359
43.8,-117.6,
43.7,-118.0,
47.6684275739,-122.3508772655,39.908897399902344
47.95761062251738,-124.3660246433851,-1.9687423706054688
36.22392,-114.90022,
36.172459,-114.429866,-6.4227294921875
48.610969,-122.986114,15.606851577758789
46.6542,-120.5289,-11.247039794921875
38.9796066,-119.7640152,0.319580078125
42.9,-117.9,
39.37,-114.7,30.773193359375
47.8024483,-124.1048126,-47.8802490234375
47.8803101,-124.1805573,
47.3806,-121.6453,-92.69512939453125
45.8463153301954,-122.44120148030729,-73.85520935058594
36.3772021841676,-116.9185806395762,
48.55163573218552,-122.16701021820828,0.46685791015625
46.18321804531972,-118.07554625685732,-15.0556640625
47.99467781633281,-117.1570556178426,9.444091796875
38.14456214469999,-119.59867454997068,-4.20166015625
44.04223095173867,-122.1525059283195,212.16741943359375
39.00277483177398,-114.30258843024362,-89.5537109375
38.53137925152554,-114.77985139281394,-9.50439453125
42.63103247339643,-120.43294421855178,-0.2510986328125
42.082506255739375,-123.94642708872996,-107.90728759765625
45.26029451534168,-116.9307370298534,64.2371826171875
42.11762178428828,-123.26097333343895,239.066162109375
47.22790598249573,-117.7666077316766,
43.908937375779246,-120.6915834215789,
40.62125706739518,-116.86684130455296,0.6171875
45.97427118382164,-122.9223927578984,9.158905029296875
42.75984725037107,-123.68727004592462,65.81170654296875
40.1514325995841,-116.44363676972608,
47.27450322130262,-122.38891638851662,-31.33513832092285
43.67507202866369,-120.82057190235844,5.081787109375
43.44961285484294,-120.62438956550832,
46.27107930179881,-120.76856000029008,
36.0784315793602,-114.28060655580607,18.824676513671875
42.24236071446491,-123.632674236649,-21.07025146484375
36.2400473363915,-114.91598024468854,-24.0545654296875
43.99678515553597,-117.2780707339659,-131.0465850830078
40.897853288946,-116.38293177354814,-13.799072265625
46.00031298714088,-116.71707578529858,18.17413330078125
46.75854266854875,-117.66425778695334,0.58233642578125
48.17104427380548,-122.25742115372611,-13.581710815429688
36.1280447379874,-117.39962625281824,-47.30645751953125
36.89470237047449,-117.66854174934583,6.8192138671875
47.68902246971202,-122.38484076201668,13.746536254882812
47.69158309562607,-117.47988086084212,-9.2493896484375
48.11704073996683,-123.0646067385674,-4.325118064880371
44.15934258152618,-117.68817660489796,65.98779296875
35.9469518714554,-119.7183978988071,0.06343841552734375
42.636702680432094,-123.02957780668314,-21.47979736328125
45.80933469294811,-116.0410873219262,-40.309326171875
48.50426088029118,-123.62806028522591,
42.32722222904394,-120.39855961362233,-12.4095458984375
46.10116820682422,-118.77749325004751,
46.17201581891716,-117.77068560060326,-14.3409423828125
44.74357853702909,-117.62524287890248,-57.7197265625
39.43481182825329,-114.23989302169076,-16.030029296875
47.35523452595648,-121.49840353974967,-103.8043212890625
46.25167972361923,-118.50756925856182,
42.83726791058682,-123.8576838023346,
45.24202085323864,-116.96274253951198,32.740234375
44.94442193845374,-122.26907062655206,55.736328125
46.50418686979436,-117.84111284627276,43.02862548828125
46.59677453019003,-117.74098130348597,
44.96922297843323,-117.41253469836585,28.8961181640625
43.69382422501084,-117.5666401816748,-39.50927734375
46.78158006901142,-118.54368004542049,-7.06622314453125
36.7674314018181,-114.94514240230583,0.7308349609375
44.46743292574466,-122.04310267996657,139.985595703125
44.609550365190415,-122.99355072555244,-0.00331878662109375
46.98166770562286,-117.16932223632408,-9.75848388671875
46.719880287097695,-120.81084710861128,-1.60638427734375
47.19824320446503,-121.18038082309243,138.506103515625
45.72605367890228,-122.22667976222982,-53.765625
38.644038854782366,-114.09331355260989,-7.1407470703125
40.3258974555676,-116.45372277520212,-6.023193359375
48.676819710958256,-122.97008423138394,16.272811889648438
36.5497787836977,-114.97312908088516,-16.56097412109375
39.09114903441232,-114.9448289532253,71.042724609375
47.21993764974766,-117.27424037088797,
36.57582007580682,-116.47541344951097,0.27264404296875
38.38649557080655,-119.05581554705368,-24.403564453125
45.40580076357752,-122.57127320607516,4.073146820068359
47.64198080930955,-117.81742530038927,
36.10518818858674,-116.9368902471602,-26.549102783203125
43.16003525594654,-120.25771113617442,
43.38647461655355,-120.23781660910582,
36.31365499038335,-116.2276070097252,-20.25653076171875
47.30710233333564,-122.88932118454996,8.116104125976562
42.244843242845214,-123.88809237380354,-42.6893310546875
45.83547935414616,-122.82601244389076,-0.7688055038452148
43.42771008060178,-117.50739960459508,141.76123046875
43.83915308816946,-120.2517112992129,-27.4906005859375
38.87545988585273,-114.98708269243993,-4.3551025390625
48.60306107848304,-123.54705137524437,-8.76837158203125
35.076537853136585,-119.36313695134282,1.1214447021484375
36.51204504638682,-114.25447059724276,18.18597412109375
39.74424654921059,-114.1362718425252,21.6337890625
46.23742747963787,-117.01772231365844,-2.1983642578125
42.17793186242404,-120.90535874216732,
36.21893670563298,-114.88935838839292,-3.02490234375
36.59343491429344,-114.50050152423113,
