occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,longitude,latitude,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,state_query,lat_r,lon_r,_key,name_len
197132,occ,,,20307,? Cervus brevitrabalis,species,45015,,Cervus brevitrabalis,species,43851,Irvingtonian,,1.4,0.21,1558,-118.5,47.0,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Cervidae,42652,Cervus,42666.0,,Cervus,?,,,brevitrabalis,,Washington,47.0,-118.5,47.0_-118.5,20
1231891,occ,,,162126,Cynomys ludovicianus,species,45497,,Cynomys ludovicianus,species,44288,Late Pleistocene,,0.129,0.0117,52801,-113.043335,46.595554,Chordata,33815,Mammalia,36651,Rodentia,41370.0,Sciuridae,41486.0,Cynomys,41496.0,,Cynomys,,,,ludovicianus,,Montana,46.596,-113.043,46.596_-113.043,20
1217352,occ,,,20499,Vulpes stenognathus,species,52688,,Vulpes stenognathus,species,52688,Irvingtonian,,1.4,0.21,52058,-117.5,43.599998,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189.0,Vulpes,41248.0,,Vulpes,,,,stenognathus,,Oregon,43.6,-117.5,43.6_-117.5,19
1686269,occ,,,235058,Odocoileus hemionus,species,49284,,Odocoileus hemionus,species,45019,Pleistocene,,2.58,0.0117,90864,-117.523003,47.202,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Cervidae,42652,Odocoileus,42682.0,,Odocoileus,,,,hemionus,,Washington,47.202,-117.523,47.202_-117.523,19
195959,occ,,,20136,Oreamnos americanus,species,49372,,Oreamnos americanus,species,51374,Irvingtonian,,1.4,0.21,2064,-119.199997,39.0,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Bovidae,42742,Oreamnos,42810.0,,Oreamnos,,,,americanus,,Nevada,39.0,-119.2,39.0_-119.2,19
1231882,occ,,,162120,Castor californicus,species,44956,,Castor californicus,species,44956,Late Pliocene,Early Pleistocene,3.6,0.774,52801,-112.716667,46.283333,Chordata,33815,Mammalia,36651,Rodentia,41370.0,Castoridae,41534.0,Castor,41539.0,,Castor,,,,californicus,,Montana,46.283,-112.717,46.283_-112.717,19
1581299,occ,,,223356,Chelydra serpentina,species,105357,,Chelydra serpentina,species,105356,Rancholabrean,,0.21,0.014,78565,-114.568886,36.654446,Chordata,33815,Reptilia,36322,Testudines,56475,Chelydridae,37704,Chelydra,37706.0,,Chelydra,,,,serpentina,,Nevada,36.654,-114.569,36.654_-114.569,19
198304,occ,,,20443,Paramylodon harlani,species,49881,,Paramylodon harlani,species,48020,Irvingtonian,,1.4,0.21,2499,-118.0,43.0,Chordata,33815,Mammalia,36651,Xenarthra,97907,Mylodontidae,43629.0,Paramylodon,43642.0,,Paramylodon,,,,harlani,,Idaho,43.0,-118.0,43.0_-118.0,19
197709,occ,,,20373,? Camelops minidokae,species,44806,,Camelops minidokae,species,44806,Irvingtonian,,1.4,0.21,4222,-110.0,48.799999,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Camelidae,42513.0,Camelops,42520.0,,Camelops,?,,,minidokae,,Montana,48.8,-110.0,48.8_-110.0,18
1231894,occ,34490.0,,162127,Camelops hesternus,species,44801,,Camelops hesternus,species,44383,Late Pleistocene,,0.129,0.0117,64907,-113.160004,46.612221,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Camelidae,42513.0,Camelops,42520.0,,Camelops,,,,hesternus,,Montana,46.612,-113.16,46.612_-113.16,18
1654780,occ,,,219041,Siphateles bicolor,species,394852,,Siphateles bicolor,species,394851,Late Pleistocene,,0.129,0.0117,88429,-120.551399,42.761299,Chordata,33815,Osteichthyes,34881,Cypriniformes,64193,Cyprinidae,64192.0,Siphateles,394849.0,,Siphateles,,,,bicolor,,Oregon,42.761,-120.551,42.761_-120.551,18
1655934,occ,,,235059,Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Pleistocene,,2.58,0.0117,85563,-117.691002,46.706001,Chordata,33815,Mammalia,36651,Proboscidea,43230,Elephantidae,43263,Mammuthus,43266.0,,Mammuthus,,,,columbi,,Washington,46.706,-117.691,46.706_-117.691,17
1589441,occ,,,224638,cf. Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Late Pleistocene,,0.129,0.0117,80987,-116.336945,36.501389,Chordata,33815,Mammalia,36651,Proboscidea,43230,Elephantidae,43263,Mammuthus,43266.0,,Mammuthus,cf.,,,columbi,,Nevada,36.501,-116.337,36.501_-116.337,17
1231900,occ,,,162130,Rangifer tarandus,species,51308,,Rangifer tarandus,species,45024,Late Pleistocene,,0.129,0.0117,52801,-112.966667,46.599998,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Cervidae,42652.0,Rangifer,42688.0,,Rangifer,,,,tarandus,,Montana,46.6,-112.967,46.6_-112.967,17
1612181,occ,,,227943,? Cervus lucasi,species,45022,recombined as,Odocoileus lucasi,species,45022,Late Pliocene,Early Pleistocene,3.6,0.774,83084,-116.583336,44.0,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Cervidae,42652.0,Odocoileus,42682.0,,Cervus,?,,,lucasi,,Idaho,44.0,-116.583,44.0_-116.583,17
841391,occ,,,93278,Ursus americanus,species,52602,,Ursus americanus,species,52602,Late Pleistocene,,0.129,0.0117,31546,-114.599998,39.366669,Chordata,33815,Mammalia,36651,Carnivora,36905,Ursidae,41301,Ursus,41331.0,,Ursus,,,,americanus,,Nevada,39.367,-114.6,39.367_-114.6,16
1436048,occ,,,200341,Mammut pacificus,species,384021,,Mammut pacificus,species,384021,Rancholabrean,,0.21,0.014,35474,-112.059998,43.040001,Chordata,33815,Mammalia,36651,Proboscidea,43230,Mammutidae,43273.0,Mammut,43274.0,,Mammut,,,,pacificus,,Idaho,43.04,-112.06,43.04_-112.06,16
1605976,occ,,,227074,Ovis catclawensis,species,49518,,Ovis canadensis,species,49517,Pleistocene,,2.58,0.0117,82501,-119.936996,42.084999,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Bovidae,42742.0,Ovis,42816.0,,Ovis,,,,catclawensis,,Oregon,42.085,-119.937,42.085_-119.937,15
1654778,occ,,,231727,Bison antiquus,species,44508,,Bison antiquus,species,44508,Late Pleistocene,,0.129,0.0117,88428,-120.773102,46.871895,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Bovidae,42742,Bison,42751.0,,Bison,,,,antiquus,,Washington,46.872,-120.773,46.872_-120.773,14
197466,occ,9486.0,,20343,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.4,0.21,3574,-115.699997,43.0,Chordata,33815,Mammalia,36651,Proboscidea,43230,Elephantidae,43263.0,Mammuthus,43266.0,,Mammuthus,,,,hayi,,Idaho,43.0,-115.7,43.0_-115.7,14
198223,occ,9665.0,,20430,Perognathinae indet.,subfamily,370355,,Perognathinae,subfamily,370355,Blancan,Irvingtonian,4.7,0.21,6294,-112.099998,42.5,Chordata,33815,Mammalia,36651,Rodentia,41370,Heteromyidae,41673.0,Perognathinae,,,Perognathinae,,,,indet.,,Idaho,42.5,-112.1,42.5_-112.1,13
843025,occ,,,93597,Homo sapiens,species,83088,,Homo sapiens,species,83088,Late Pleistocene,,0.129,0.0117,31713,-110.666664,46.0,Chordata,33815,Mammalia,36651,Primates,40700.0,Hominidae,40899.0,Homo,40901.0,,Homo,,,,sapiens,,Montana,46.0,-110.667,46.0_-110.667,12
842668,occ,,,93537,Homo sapiens,species,83088,,Homo sapiens,species,83088,Late Pleistocene,,0.129,0.0117,31654,-114.783333,42.666668,Chordata,33815,Mammalia,36651,Primates,40700,Hominidae,40899.0,Homo,40901.0,,Homo,,,,sapiens,,Idaho,42.667,-114.783,42.667_-114.783,12
1231887,occ,,,162124,Bison cf. bison,species,44511,recombined as,Bos bison,species,44607,Late Pleistocene,,0.129,0.0117,52801,-113.300003,46.700001,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Bovidae,42742.0,Bos,42753.0,,Bison,,,,bison,cf.,Montana,46.7,-113.3,46.7_-113.3,9
1231898,occ,,,162129,Bison bison,species,44511,recombined as,Bos bison,species,44607,Late Pleistocene,,0.129,0.0117,52801,-113.133331,46.616669,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Bovidae,42742.0,Bos,42753.0,,Bison,,,,bison,,Montana,46.617,-113.133,46.617_-113.133,9
1231890,occ,,,162125,Camelops sp.,genus,42520,,Camelops,genus,42520,Late Pleistocene,,0.129,0.0117,52801,-113.0,46.583332,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Camelidae,42513.0,Camelops,42520.0,,Camelops,,,,sp.,,Montana,46.583,-113.0,46.583_-113.0,8
1231886,occ,,,162123,Thomomys taloides,genus,41671,species not entered,Thomomys,genus,41671,Late Pleistocene,,0.129,0.0117,52801,-112.900002,46.583332,Chordata,33815,Mammalia,36651,Rodentia,41370.0,Geomyidae,41651.0,Thomomys,41671.0,,Thomomys,,,,taloides,,Montana,46.583,-112.9,46.583_-112.9,8
1631442,occ,,,231102,Camelus maximus,genus,42521,species not entered,Camelus,genus,42521,Pleistocene,,2.58,0.0117,85563,-119.263054,47.607224,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Camelidae,42513,Camelus,42521.0,,Camelus,,,,maximus,,Washington,47.607,-119.263,47.607_-119.263,7
1231883,occ,,,162121,Equus proversus,species,46302,species not entered,Equini,tribe,65580,Late Pliocene,Early Pleistocene,3.6,0.774,52801,-112.716667,46.316666,Chordata,33815,Mammalia,36651,Perissodactyla,106418.0,Equidae,42984.0,Equini,,,Equus,,,,proversus,,Montana,46.317,-112.717,46.317_-112.717,6
