elevation,slope,aspect,tri,lith_score,presence,latitude,longitude
715.71265,4.079497,17.285587,1.7004242,0.15,1,47.483334,-117.566666
41.281162,3.8782842,221.40044,2.0760827,0.4,1,48.601665,-123.347221
4.588078,6.932039,125.56567,2.698645,0.4,1,48.458611,-123.294724
0.0,0.0,0.0,0.08734983,0.4,1,48.472778,-123.291115
123.49564,13.734871,322.28555,6.0887146,0.4,1,48.456669,-123.326111
40.545654,1.3541099,206.09346,0.52278614,1.0,1,48.116943,-122.760559
695.55115,2.5104952,27.20297,1.0135574,0.8,1,46.871895,-120.773102
629.295,2.1125963,273.28986,0.9035492,0.15,1,47.202,-117.523003
246.33046,7.5122576,96.96629,3.4743443,0.15,1,46.706001,-117.691002
55.031082,1.457815,60.444126,0.7163992,1.0,1,45.519016,-122.958008
108.31864,0.3426363,37.022842,0.109041214,1.0,1,44.533333,-122.900002
1313.0771,0.91287583,313.07245,0.44088745,1.0,1,43.333332,-120.5
69.5364,0.7352882,74.23435,0.2810936,1.0,1,44.958775,-122.878143
1518.8973,32.840496,28.624178,14.702759,0.4,1,36.099998,-117.900002
473.10806,8.674288,240.4646,3.4205742,0.85,1,36.654446,-114.568886
708.6216,2.6758556,66.35642,1.0378723,0.85,1,36.501389,-116.336945
537.4677,1.0109053,13.777428,0.37926483,1.0,1,47.0,-118.5
173.16122,3.382641,283.30853,1.443407,0.9,1,48.049999,-123.116669
62.947327,1.732118,259.90933,0.6752744,1.0,1,45.373905,-122.776749
473.15277,13.538344,171.36996,5.64217,0.4,1,42.468811,-123.119583
84.12,0.0,0.0,0.032740593,0.4,1,48.449722,-123.504723
1292.8849,0.93321615,252.41693,0.4118805,0.15,1,43.0,-118.0
1431.702,19.355274,233.07892,6.752228,1.0,1,42.761299,-120.551399
56.922665,0.114039056,67.339294,0.09927368,1.0,1,45.148335,-122.842499
2520.1086,29.350584,58.198925,14.283722,0.15,1,38.799999,-119.5
1355.6025,0.73130804,175.29007,0.30160522,0.85,1,39.0,-119.199997
320.74292,1.1208351,261.16583,0.4594078,0.4,1,35.305557,-119.623337
604.5084,17.760593,328.6954,6.812042,0.4,1,35.099998,-120.0
59.372482,0.15665847,93.800316,0.07165623,0.4,1,35.933334,-119.816666
1584.7534,0.33423632,251.4547,0.1414032,0.4,1,38.950001,-114.01667
1630.6196,8.214687,78.96615,3.282486,0.4,1,39.483334,-114.033333
1323.8507,11.662527,30.445627,4.9542084,0.15,1,43.599998,-117.5
46.479183,1.9083126,57.76743,0.6456461,1.0,1,45.430923,-122.775742
11.778791,10.730452,109.195885,4.699585,0.2,1,48.597881,-122.944626
1.7380724,0.047560073,182.89412,0.020665675,0.4,1,48.620098,-123.005096
77.25124,8.584476,52.216145,2.7751284,0.2,1,48.6078,-122.9272
54.127884,0.28951722,254.07968,0.5835805,1.0,1,45.152935,-122.847435
1218.6063,18.711369,282.47562,9.475418,0.9,1,42.098263,-123.407272
29.338549,5.685984,58.24544,2.1042578,0.4,1,48.549999,-123.366669
