rank,longitude,latitude,elevation,slope,aspect,tri,lith_score,prob,composite,ecoregion,cell,composite_norm,confidence,prob_v4_final,comp_v4_final_norm
1,-122.84194444361265,45.17527777397879,56.367203,0.26003274,59.145752,0.10030508,1.0,0.9954252334680086,0.9963401867744068,west,45.0_-123.0,1.0,high,,
2,-120.13361110736577,46.30027777518904,205.2456817626953,0.0,0.0,0.0,1.0,0.8037579422758391,0.8430063538206714,east,46.0_-120.0,1.0,improved (AUC 0.846),0.4872,0.676
3,-117.75861110481078,46.675277775592455,195.6968231201172,0.0,0.0,0.0,1.0,0.8037579422758391,0.8430063538206714,east,47.0_-118.0,1.0,improved (AUC 0.846),0.5321,0.7171
4,-117.38361110440736,46.63361110888096,225.07000732421875,0.0,0.0,0.0,1.0,0.8023213150683729,0.8418570520546984,east,47.0_-117.0,0.9941169053087406,improved (AUC 0.846),0.5321,0.7171
5,-120.53638888557684,46.35583333080436,241.78399658203125,0.0,0.0,0.0,1.0,0.8023213150683729,0.8418570520546984,east,46.0_-121.0,0.9941169053087406,improved (AUC 0.846),0.4905,0.6789
6,-122.25861110965178,48.5780555554172,52.823853,0.20242251,61.97147,0.27162552,1.0,0.9906339447302912,0.9925071557842332,west,49.0_-122.0,0.9862811761823272,high,,
7,-122.60583333224751,45.82805555245881,59.44815,0.3268856,66.65346,0.25330162,1.0,0.9897364036807748,0.9917891229446198,west,46.0_-123.0,0.9837112606123226,high,,
8,-122.0919444428058,47.466944443110776,52.856438,1.3497742,63.884842,0.5788255,1.0,0.9896160083110956,0.9916928066488764,west,47.0_-122.0,0.9833665343903164,high,,
9,-123.53638888880415,48.13361111049464,56.379414,0.7011714,56.71544,0.3138399,1.0,0.9863082874856964,0.9890466299885572,west,48.0_-124.0,0.973895587902688,high,,
10,-122.89749999922796,48.494722221994216,67.698524,1.1206781,62.654285,0.5334778,1.0,0.973437362278666,0.978749889822933,west,48.0_-123.0,0.9370424644631222,high,,
11,-121.89749999815218,47.647499998860575,35.737965,0.45580253,62.798992,0.16100502,1.0,0.9691091223113524,0.975287297849082,west,48.0_-122.0,0.9246494811129932,high,,
12,-122.49472222101689,45.38361110753624,56.38904,0.14636016,156.61247,0.17569542,1.0,0.9614734824312282,0.9691787859449824,west,45.0_-122.0,0.9027864701393468,high,,
13,-123.06416666607392,48.564166666513366,50.842,1.4619579,148.40175,0.5501647,1.0,0.9592742783834702,0.9674194227067764,west,49.0_-123.0,0.8964895227997303,high,,
14,-122.48083333211306,45.66138888561285,60.711117,0.28770295,94.91865,0.106871605,1.0,0.953026516701879,0.9624212133615032,west,46.0_-122.0,0.8786004022610682,high,,
15,-117.80027777152226,47.95305555474484,571.0890502929688,0.0,0.0,0.0,1.0,0.758363123342829,0.8066904986742631,east,48.0_-118.0,0.814104858318467,improved (AUC 0.846),0.5195,0.7056
16,-117.3558333265997,47.92527777693718,568.8798217773438,0.0,0.0,0.0,1.0,0.758363123342829,0.8066904986742631,east,48.0_-117.0,0.814104858318467,improved (AUC 0.846),0.4819,0.6711
17,-122.98083333265096,44.48083332878728,88.6883,0.23613505,68.93269,0.105690956,1.0,0.9138336603521772,0.931066928281742,west,44.0_-123.0,0.7663800956574846,high,,
18,-120.53638888557684,42.68916666019317,1324.808837890625,0.9350698590278624,225.19598388671875,0.3772735595703125,1.0,0.7198795839741966,0.7759036671793573,east,43.0_-121.0,0.656511917725492,improved (AUC 0.846),0.8407,1.0
19,-117.93916666056056,42.46694443773189,1310.0819091796875,0.9515947699546814,252.66749572753903,0.4170379638671875,1.0,0.7101000686984539,0.7680800549587632,east,42.0_-118.0,0.6164640792167915,improved (AUC 0.846),0.6739,0.8471
20,-117.42527777111886,44.550277773306426,779.6712036132812,0.0,0.0,0.0,1.0,0.6835561302336592,0.7468449041869274,east,45.0_-117.0,0.507764687575189,improved (AUC 0.846),0.5238,0.7095
21,-121.18916666405684,47.50861110982227,904.47900390625,0.0,0.0,0.0,1.0,0.6763997450992579,0.7411197960794065,east,48.0_-121.0,0.4784587610453286,improved (AUC 0.846),0.5342,0.719
22,-120.18916666298108,43.64749999455746,1347.22998046875,0.0,0.0,0.0,1.0,0.6763834441326545,0.7411067553061237,east,44.0_-120.0,0.4783920073811984,improved (AUC 0.846),0.6237,0.8011
23,-117.60583332686863,43.286388883057874,1351.913330078125,0.0,0.0,0.0,1.0,0.6763834441326545,0.7411067553061237,east,43.0_-118.0,0.4783920073811984,improved (AUC 0.846),0.7191,0.8886
